Insti,Nome da Instituição,Location,Tipo de  Ensino
3121,Instituto Politécnico de Portalegre - Escola Superior de Educação e Ciências Sociais,Portalegre,Ensino Superior Público Politécnico
3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão,Portalegre,Ensino Superior Público Politécnico
3123,Instituto Politécnico de Portalegre - Escola Superior Agrária de Elvas,Portalegre,Ensino Superior Público Politécnico
3131,Instituto Politécnico do Porto - Escola Superior de Educação,Porto,Ensino Superior Público Politécnico
3134,Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto,Porto,Ensino Superior Público Politécnico
3135,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,Porto,Ensino Superior Público Politécnico
3138,Instituto Politécnico do Porto - Escola Superior de Tecnologia e Gestão,Porto,Ensino Superior Público Politécnico
3139,Instituto Politécnico do Porto - Escola Superior de Hotelaria e Turismo,Porto,Ensino Superior Público Politécnico
3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,Santarém,Ensino Superior Público Politécnico
3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,Santarém,Ensino Superior Público Politécnico
3143,Instituto Politécnico de Santarém - Escola Superior de Gestão e Tecnologia de Santarém,Santarém,Ensino Superior Público Politécnico
3145,Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior,Santarém,Ensino Superior Público Politécnico
3151,Instituto Politécnico de Setúbal - Escola Superior de Educação,Setúbal,Ensino Superior Público Politécnico
3152,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,Setúbal,Ensino Superior Público Politécnico
3153,Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais,Setúbal,Ensino Superior Público Politécnico
3154,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,Setúbal,Ensino Superior Público Politécnico
3155,Instituto Politécnico de Setúbal - Escola Superior de Saúde,Setúbal,Ensino Superior Público Politécnico
3161,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,Viana do Castelo,Ensino Superior Público Politécnico
3162,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação,Viana do Castelo,Ensino Superior Público Politécnico
3163,Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão,Viana do Castelo,Ensino Superior Público Politécnico
3164,Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais,Viana do Castelo,Ensino Superior Público Politécnico
3165,Instituto Politécnico de Viana do Castelo - Escola Superior de Desporto e Lazer,Viana do Castelo,Ensino Superior Público Politécnico
3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,Viseu,Ensino Superior Público Politécnico
3182,Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Viseu,Viseu,Ensino Superior Público Politécnico
3185,Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu,Viseu,Ensino Superior Público Politécnico
3186,Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Lamego,Viseu,Ensino Superior Público Politécnico
3241,Instituto Politécnico de Tomar - Escola Superior de Gestão de Tomar,Tomar,Ensino Superior Público Politécnico
3242,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar,Tomar,Ensino Superior Público Politécnico
3243,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes,Tomar,Ensino Superior Público Politécnico
3331,Instituto Politécnico do Porto - Escola Superior de Media Artes e Design,Porto,Ensino Superior Público Politécnico
5402,Universidade do Porto - Faculdade de Belas-Artes,Porto,Ensino Superior Público Universitário
6800,ISCTE - Instituto Universitário de Lisboa,Lisboa,Ensino Superior Público Universitário
6810,ISCTE - Instituto Universitário de Lisboa (Sintra),Lisboa,Ensino Superior Público Universitário
7001,Escola Superior de Enfermagem de Coimbra,Coimbra,Ensino Superior Público Politécnico
7002,Escola Superior de Enfermagem de Lisboa,Lisboa,Ensino Superior Público Politécnico
7003,Escola Superior de Enfermagem do Porto,Porto,Ensino Superior Público Politécnico
7005,Instituto Politécnico de Beja - Escola Superior de Saúde,Beja,Ensino Superior Público Politécnico
7010,Universidade do Minho - Escola Superior de Enfermagem,Braga,Ensino Superior Público Universitário
7015,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,Bragança,Ensino Superior Público Politécnico
7020,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,Castelo Branco,Ensino Superior Público Politécnico
7030,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,Évora,Ensino Superior Público Universitário
7035,Universidade do Algarve - Escola Superior de Saúde,Faro,Ensino Superior Público Universitário
7040,Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda,Guarda,Ensino Superior Público Politécnico
7045,Instituto Politécnico de Leiria - Escola Superior de Saúde,Leiria,Ensino Superior Público Politécnico
7055,Instituto Politécnico de Portalegre - Escola Superior de Saúde,Portalegre,Ensino Superior Público Politécnico
7065,Instituto Politécnico de Santarém - Escola Superior de Saúde de Santarém,Santarém,Ensino Superior Público Politécnico
7075,Instituto Politécnico de Viana do Castelo - Escola Superior de Saúde,Viana do Castelo,Ensino Superior Público Politécnico
7080,Universidade de Trás-os-Montes e Alto Douro - Escola Superior de Saúde,Castelo Branco,Ensino Superior Público Universitário
7085,Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu,Viseu,Ensino Superior Público Politécnico
7092,Universidade dos Açores - Escola Superior de Saúde - Angra do Heroísmo,Açores,Ensino Superior Público Universitário
7093,Universidade dos Açores - Escola Superior de Saúde - Ponta Delgada,Açores,Ensino Superior Público Universitário
7105,Escola Superior Náutica Infante D. Henrique,Lisboa,Ensino Superior Público Politécnico
7110,Escola Superior de Hotelaria e Turismo do Estoril,Lisboa,Ensino Superior Público Politécnico
7210,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,Coimbra,Ensino Superior Público Politécnico
7220,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,Lisboa,Ensino Superior Público Politécnico
7230,Instituto Politécnico do Porto - Escola Superior de Saúde,Porto,Ensino Superior Público Politécnico
